cid,zcmb,MU_SH0ES,u_mean,g_mean,r_mean,i_mean,z_mean,u_median,g_median,r_median,i_median,z_median,z_diff_mean,z_diff_median
6108,0.258,40.528,20.6165552,20.054221866666666,19.363482,19.029382666666667,18.67215626666667,20.01218,19.55446,18.90053,18.58452,18.305,-1.1020000000009671e-05,-4.23999999999979e-05
6137,0.29888,40.9195,20.30447375,19.74500107142857,19.138123214285713,18.94456892857143,18.425085535714285,19.810679999999998,19.434805,18.774124999999998,18.62645,18.134985,-1.1192857142834016e-05,1.2500000000081899e-06
6196,0.2798,40.5056,20.929205054945054,20.326385164835163,19.66344197802198,19.291576593406596,18.894587252747254,20.59151,19.81096,18.92828,18.66368,18.31595,-1.764945054944503e-05,-2.29999999999952e-05
6249,0.29354,40.857,20.24532490566038,19.659938490566038,19.01185320754717,18.707284716981132,18.292532075471698,19.74607,19.38597,18.75337,18.50426,18.03518,-5.752830188701161e-06,1.89999999999912e-05
6304,0.18979,39.7286,20.68851952380952,20.00587841269841,19.146412063492065,18.753172857142857,18.48442746031746,19.85852,19.15345,18.47911,18.00902,17.91781,2.6144444444459987e-05,6.95000000000001e-05
6315,0.26576,40.3244,20.33514605633803,19.695797323943662,19.08270281690141,18.787248591549297,18.429779436619718,19.73285,19.29517,18.6632,18.33219,18.00945,-7.829577464784768e-06,-1.39999999998474e-06
6406,0.12377,38.6504,20.07003,19.02927975,18.273524000000002,17.810398749999997,17.585500500000002,19.236649999999997,18.21089,17.44169,16.970914999999998,16.719695,-3.615500000000432e-05,-9.690000000000385e-05
6422,0.18501,39.6347,20.54830434210526,19.652089210526317,18.860251315789476,18.380641842105263,18.148576184210526,19.913535,19.00831,18.262085,17.85361,17.718745,1.6135526315780916e-05,-6.440000000000609e-05
6649,0.31509,40.8837,20.922918695652175,20.268507971014493,19.619219710144925,19.39435884057971,19.008006666666667,20.36591,19.99433,19.21247,19.03016,18.64641,-1.5872463768096866e-05,2.19000000000191e-05
6699,0.30915,41.046,21.09510328125,20.43570140625,19.7272640625,19.45917625,18.8954421875,20.5801,20.04948,19.27646,18.97279,18.483625,1.967500000002021e-05,2.03000000000008e-05
6780,0.20268,39.8373,20.7045720338983,19.761492372881357,18.963261694915253,18.382981355932206,18.19585440677966,20.22209,19.08752,18.47126,18.05172,17.93078,-6.648813559322068e-05,-0.000167300000000009
6924,0.3286,40.9276,20.378015471698113,19.842328113207547,19.086053962264153,18.809633018867924,18.283272075471697,20.38918,19.98423,18.92027,18.70379,18.14897,2.429433962264255e-05,3.13000000000118e-05
6933,0.21383,39.8874,20.146224142857143,19.694813142857143,18.979407,18.560724999999998,18.30375342857143,19.671210000000002,19.07147,18.406195,17.95531,17.805300000000003,-8.841428571420303e-06,-1.194999999999667e-05
6936,0.1789,39.641,20.082824657534246,19.349212191780822,18.651169315068493,18.169961369863014,18.04635575342466,19.62345,18.90673,18.30259,17.85579,17.65423,1.000684931506424e-05,4.000000000004e-06
7143,0.30354,41.0778,20.124800983606555,19.61756950819672,18.979270655737704,18.808492786885246,18.272359180327868,19.93423,19.47385,18.82926,18.6441,18.15009,-3.4016393442381625e-06,3.2000000000365e-06
7147,0.10886,38.4016,20.158075882352943,19.17089794117647,18.526937647058823,18.063507647058824,17.88265676470588,19.320950000000003,18.027645,17.49279,17.03849,16.952665,5.014705882353009e-05,7.605000000000105e-05
7243,0.20323,39.9335,21.029952641509432,20.045122264150944,19.298604150943397,18.800594150943397,18.64780679245283,20.31158,19.43807,18.80422,18.34483,18.20651,-4.679433962263586e-05,-4.99999999999944e-05
7473,0.21677,40.0932,20.37342857142857,19.673135714285714,18.95371654761905,18.48305619047619,18.423370357142858,19.822094999999997,19.23244,18.57873,18.14203,18.080550000000002,1.7721428571438624e-05,8.750000000015676e-06
7475,0.32265,40.9316,20.393340701754383,19.67588807017544,19.038197192982455,18.840574736842104,18.331254210526314,20.39578,19.6046,18.83351,18.76135,18.15889,-1.307894736841243e-05,1.65000000000303e-05
